"id,""nextbuydate"",""bought_btc"",""spent_eur"",""startdate"",""completedbuy"",""monthlybuy"",""period"",""machinetype"",""duration"",""status"",""parent"",""api_key"",""user_id"",""trading_pair"",""exchange"",""pending"",""id-2"",""user_id-2"",""machine_id"",""amount"",""next_amount"""
"2,""1519906790"",""0.07939634"",""174.99828"",""1499190111"",194,""200"",""12960"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,363,8,2,""20"",""20"""
"2,""1519906790"",""0.07939634"",""174.99828"",""1499190111"",194,""200"",""12960"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,362,5,2,""50"",""50"""
"2,""1519906790"",""0.07939634"",""174.99828"",""1499190111"",194,""200"",""12960"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,361,7,2,""20"",""150"""
"2,""1519906790"",""0.07939634"",""174.99828"",""1499190111"",194,""200"",""12960"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,364,4,2,""50"",""50"""
"2,""1519906790"",""0.07939634"",""174.99828"",""1499190111"",194,""200"",""12960"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,365,6,2,""30"",""30"""
"2,""1519906790"",""0.07939634"",""174.99828"",""1499190111"",194,""200"",""12960"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,366,11,2,""10"",""0"""
"3,""1505928641"",""0.13204415"",""449.9926"",""1501773195"",450,""320"",""7000"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,369,8,3,""20"",""20"""
"3,""1505928641"",""0.13204415"",""449.9926"",""1501773195"",450,""320"",""7000"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,368,5,3,""50"",""50"""
"3,""1505928641"",""0.13204415"",""449.9926"",""1501773195"",450,""320"",""7000"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,370,4,3,""50"",""50"""
"3,""1505928641"",""0.13204415"",""449.9926"",""1501773195"",450,""320"",""7000"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,371,6,3,""30"",""30"""
"3,""1505928641"",""0.13204415"",""449.9926"",""1501773195"",450,""320"",""7000"",1,""1"",0,0,1,1,""BTCEUR"",""Paymium"",NULL,367,7,3,""150"",""100"""
"4,""1506817372"",""0.091488555"",""321.9948"",""1505922112"",322,""320"",""4050"",2,""1"",0,3,1,1,""BTCEUR"",""Paymium"",NULL,376,6,4,""30"",""30"""
"4,""1506817372"",""0.091488555"",""321.9948"",""1505922112"",322,""320"",""4050"",2,""1"",0,3,1,1,""BTCEUR"",""Paymium"",NULL,374,8,4,""20"",""40"""
"4,""1506817372"",""0.091488555"",""321.9948"",""1505922112"",322,""320"",""4050"",2,""1"",0,3,1,1,""BTCEUR"",""Paymium"",NULL,375,4,4,""50"",""50"""
"4,""1506817372"",""0.091488555"",""321.9948"",""1505922112"",322,""320"",""4050"",2,""1"",0,3,1,1,""BTCEUR"",""Paymium"",NULL,373,5,4,""50"",""50"""
"4,""1506817372"",""0.091488555"",""321.9948"",""1505922112"",322,""320"",""4050"",2,""1"",0,3,1,1,""BTCEUR"",""Paymium"",NULL,372,7,4,""100"",""100"""
